Country of domicile,ISO-3,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Distance,Population,Students normalised
Albania,ALB,2014,10,11586.8637666424,65.7829666137695,,34.6,0.787,1868,2889104.0,0.000697101938871013
Albania,ALB,2015,5,11878.4880933446,62.0076217651367,21.15599,32.9,0.788,1868,2880703.0,0.000699482036155758
Albania,ALB,2016,5,12291.8733773928,58.3818511962891,19.09854,33.7,0.788,1868,2876101.0,0.000700948958329349
Albania,ALB,2017,10,12770.9750370811,57.3752593994141,18.85009,33.2,0.79,1868,2873457.0,0.000701941946582113
Albania,ALB,2018,5,13323.7533559132,54.9613304138184,,,0.792,1868,2866376.0,0.000704024873219703
Albania,ALB,2019,5,13671.4884222978,59.7784996032715,,,0.795,1868,2854191.0,0.000707380830505036
Algeria,DZA,2019,5,11510.5570882585,52.6199417114258,,,0.748,1678,43053054.0,0.0000468956278920422
Argentina,ARG,2017,5,23597.117752839,89.9585189819336,22.08034,41.1,0.843,11052,44044811.0,0.0000457942707484884
Argentina,ARG,2018,5,22759.3985583341,91.6006011962891,,41.3,0.842,11052,44494502.0,0.0000453539181088036
Argentina,ARG,2019,5,22063.9043717551,95.4479064941406,,42.9,0.845,11052,44938712.0,0.0000449278564103039
Armenia,ARM,2014,10,11019.838784895,47.0821914672852,13.62262,31.5,0.764,3599,2912403.0,0.000691525176975851
Armenia,ARM,2015,5,11321.3325403745,46.521800994873,12.68896,32.4,0.768,3599,2925559.0,0.000688757259723697
Armenia,ARM,2017,5,12115.1392902637,52.2515296936035,12.99242,33.6,0.769,3599,2944789.0,0.000684938717171247
Armenia,ARM,2018,5,12715.1089539751,54.5704803466797,,34.4,0.771,3599,2951741.0,0.000683664318786777
Armenia,ARM,2019,5,13653.7633812861,51.4875297546387,,29.9,0.776,3599,2957728.0,0.000682618550454944
Australia,AUS,2014,15,47289.9646101072,,26.53865,34.4,0.933,16956,23475686.0,0.0000857908902001841
Australia,AUS,2015,20,47636.319641906,118.610862731934,28.85535,,0.938,16956,23815995.0,0.0000846070046622029
Australia,AUS,2016,25,48197.431189174,120.965713500977,26.82461,,0.939,16956,24190907.0,0.0000833370985221844
Australia,AUS,2017,25,48482.6474614392,113.142158508301,,,0.941,16956,24601860.0,0.0000819856710021112
Australia,AUS,2018,25,49151.6887104846,107.808052062988,,,0.943,16956,24982688.0,0.0000807759357199674
Australia,AUS,2019,30,49455.5385080697,115.952041625977,,,0.944,16956,25365745.0,0.0000795955332674045
Austria,AUT,2014,40,52857.0563215416,79.1586990356445,32.51695,30.5,0.913,1211,8546356.0,0.000235655991863667
Austria,AUT,2015,55,52798.0994607541,80.7194213867188,32.63359,30.5,0.915,1211,8642699.0,0.000233144761838865
Austria,AUT,2016,55,53269.3062047537,83.454948425293,32.48871,30.8,0.917,1211,8736668.0,0.000230751586302696
Austria,AUT,2017,55,54169.9639937065,85.0571365356445,,29.7,0.919,1211,8797566.0,0.00022926795888772
Austria,AUT,2018,45,55297.6182880367,86.688346862793,,30.8,0.921,1211,8840521.0,0.000228267089688492
Austria,AUT,2019,50,55833.3156857561,86.4755325317383,,,0.922,1211,8879920.0,0.000227366913215434
Azerbaijan,AZE,2014,20,14875.7816413327,23.1597309112549,,,0.740,3969,9535079.0,0.00021122006435395
Azerbaijan,AZE,2015,20,14853.9105525729,25.4832000732422,12.81609,,0.744,3969,9649341.0,0.000208822550679886
Azerbaijan,AZE,2016,25,14238.7841366188,25.926420211792,17.08263,,0.751,3969,9757812.0,0.000206603693532935
Azerbaijan,AZE,2017,20,14121.4069355591,27.0674095153809,16.40216,,0.754,3969,9854033.0,0.000204687765912698
Azerbaijan,AZE,2018,15,14209.6494059309,27.7084999084473,,,0.754,3969,9939771.0,0.000203022785937423
Azerbaijan,AZE,2019,10,14439.3014032972,31.5401992797852,,,0.756,3969,10024283.0,0.00020141091387783
Bahrain,BHR,2014,5,48201.1571717366,41.3292388916016,,,0.820,5104,1336073.0,0.00150740266437537
Bahrain,BHR,2015,10,48110.7341930587,43.275749206543,,,0.848,5104,1371853.0,0.00146881626529956
Bahrain,BHR,2016,10,47937.7090620549,46.5661392211914,,,0.853,5104,1425793.0,0.00141394999133815
Bahrain,BHR,2017,10,47709.7780156397,47.145881652832,,,0.854,5104,1494077.0,0.00134999735622729
Bahrain,BHR,2018,5,46200.445580954,50.4818992614746,,,0.852,5104,1569440.0,0.0012858089509634
Bahrain,BHR,2019,10,45060.4237448845,55.6285095214844,,,0.852,5104,1641164.0,0.00123022440170513
Bangladesh,BGD,2014,15,3511.64550625961,13.8650798797607,,,0.579,8051,154517385.0,0.0000130341320492836
Bangladesh,BGD,2015,20,3700.11082057504,13.7874097824097,,,0.595,8051,156256287.0,0.000012895481127105
Bangladesh,BGD,2016,10,3920.14450723583,17.8743591308594,33.27739,32.4,0.606,8051,157977151.0,0.000012761339138215
Bangladesh,BGD,2017,15,4160.70332471531,18.151460647583,,,0.616,8051,159685421.0,0.0000126310842115011
Bangladesh,BGD,2018,15,4440.85547046826,20.5650691986084,,,0.625,8051,161376713.0,0.0000125049021168252
Bangladesh,BGD,2019,15,4753.72659686814,24.0168895721436,,,0.632,8051,163046173.0,0.0000123829953371552
Barbados,BRB,2015,5,15382.7656890531,,,,0.809,6770,285327.0,0.00706207263946279
Barbados,BRB,2016,5,15738.0786618241,,31.08689,,0.811,6770,285798.0,0.00705393319757311
Barbados,BRB,2017,5,15789.0411622149,,28.54073,,0.81,6770,286229.0,0.00704680518046739
Barbados,BRB,2018,5,15674.9043195592,,,,0.81,6770,286640.0,0.00704018978509629
Belarus,BLR,2014,5,19066.8868190919,91.5001602172852,16.89418,27.2,0.814,1880,9474511.0,0.000212570337403165
Belarus,BLR,2015,5,18307.5196678406,89.5671615600586,16.75625,25.6,0.814,1880,9489616.0,0.000212337359067005
Belarus,BLR,2016,5,17822.6065945418,88.1845779418945,16.10117,25.3,0.815,1880,9501534.0,0.000212176265432508
Belarus,BLR,2017,10,18280.1989190642,88.4514312744141,16.47839,25.4,0.819,1880,9498264.0,0.000212354594481686
Belarus,BLR,2018,10,18885.2354999668,87.4290924072266,,25.2,0.823,1880,9483499.0,0.000212790658806417
Belarus,BLR,2019,5,19283.1171477055,93.3963165283203,,25.3,0.823,1880,9417849.0,0.000214380162604009
Belgium,BEL,2014,65,48747.6770466387,72.9973983764648,22.49618,28.1,0.918,313,11209057.0,0.000179676131542555
Belgium,BEL,2015,75,49455.4413365318,74.5597610473633,22.12875,27.7,0.922,313,11274196.0,0.000178726713638826
Belgium,BEL,2016,70,49828.9629137518,75.8906402587891,22.2845,27.6,0.924,313,11331422.0,0.00017791235733697
Belgium,BEL,2017,70,50442.2705419623,79.6617279052734,,27.4,0.929,313,11375158.0,0.000177316218376923
Belgium,BEL,2018,80,51110.9584679336,78.9011688232422,,27.2,0.93,313,11427054.0,0.000176598447858914
Belgium,BEL,2019,80,51742.7263830791,80.1381683349609,,,0.931,313,11488980.0,0.000175733616039022
Bermuda,BMU,2014,5,77361.1048812589,28.2364902496338,18.23369,,,5324,65138.0,0.0309189720286162
Bermuda,BMU,2015,5,77842.7539032209,25.1421203613281,,,,5324,65237.0,0.0308873798611218
Bermuda,BMU,2016,5,78149.352535184,,,,,5324,64554.0,0.0312296681847755
Bermuda,BMU,2017,5,81834.9558735543,17.8335494995117,16.98494,,,5324,63873.0,0.0315782881655786
Bermuda,BMU,2018,5,81422.1346003442,19.0272598266602,,,,5324,63919.0,0.0315712073092508
Bermuda,BMU,2019,5,81804.2656772398,,,,,5324,63913.0,0.0315898174080391
Botswana,BWA,2014,5,17264.3958032611,27.3073101043701,,,0.711,8721,2088619.0,0.000964273522360948
Botswana,BWA,2015,5,16714.3978216526,30.2393398284912,,53.3,0.717,8721,2120716.0,0.00095015079812667
Botswana,BWA,2016,10,17117.272788253,25.9108695983887,,,0.720,8721,2159925.0,0.000933365741866037
Botswana,BWA,2017,15,17253.6874951645,24.8599700927734,,,0.726,8721,2205076.0,0.000914707701684658
Botswana,BWA,2018,20,17634.6561910867,26.7171192169189,,,0.73,8721,2254067.0,0.000895270637474396
Botswana,BWA,2019,15,17776.8083134036,25.0813903808594,,,0.735,8721,2303703.0,0.000876415058711995
Brazil,BRA,2014,20,15749.5121636511,50.1764488220215,19.27436,52.1,0.756,8686,202763744.0,0.00000993274221647831
Brazil,BRA,2015,15,15064.1760689478,51.3200416564941,21.454,51.9,0.756,8686,204471759.0,0.00000985466164058382
Brazil,BRA,2016,20,14451.1528421912,50.734489440918,,53.3,0.758,8686,206163056.0,0.00000977866761928481
Brazil,BRA,2017,15,14524.6135408175,51.5707092285156,,53.3,0.761,8686,207833825.0,0.00000970486878158548
Brazil,BRA,2018,15,14668.2561636292,53.2573509216309,,53.9,0.762,8686,209469320.0,0.00000963386905538243
Brazil,BRA,2019,15,14763.8716968734,55.1362991333008,,53.4,0.765,8686,211049519.0,0.0000095664752498204
Brunei,BRN,2014,20,64190.8241471541,,,,0.838,11276,409778,0.0049148563368458
Brunei,BRN,2015,20,63147.4834900843,,,,0.838,11276,414914,0.00485642807907181
Brunei,BRN,2016,15,60867.2918657417,,,,0.839,11276,419791,0.00480238976061897
Brunei,BRN,2017,15,60994.5315563275,,,,0.838,11276,424481,0.00475168499885743
Brunei,BRN,2018,15,60389.1846472589,,,,0.836,11276,428960,0.00470440134278254
Brunei,BRN,2019,10,62098.0113423415,,,,0.838,11276,433296,0.00465963221446771
Bulgaria,BGR,2014,30,18747.370050962,67.5635604858398,,37.4,0.806,2020,7223938.0,0.000278795305275322
Bulgaria,BGR,2015,55,19620.1539761978,70.3015365600586,,38.6,0.809,2020,7177991.0,0.000280719215167587
Bulgaria,BGR,2016,70,20513.10095142,71.2457427978516,,40.6,0.811,2020,7127822.0,0.000282835345776031
Bulgaria,BGR,2017,90,21387.2766420381,71.0306625366211,,40.4,0.811,2020,7075947.0,0.000285050184802119
Bulgaria,BGR,2018,95,22208.4522754771,71.5215225219727,,41.3,0.813,2020,7025037.0,0.000287258273515143
Bulgaria,BGR,2019,95,23191.5745846967,73.3791732788086,,,0.816,2020,6975761.0,0.000289430787551351
Canada,CAN,2014,70,47564.609109622,65.612907409668,,33.2,0.918,5401,35437435.0,0.0000568325557422539
Canada,CAN,2015,60,47522.1406673151,64.7869567871094,,33.7,0.921,5401,35702908.0,0.0000564379797858483
Canada,CAN,2016,50,47457.5853457244,66.4391784667969,,32.7,0.923,5401,36109487.0,0.0000558302032925585
Canada,CAN,2017,70,48317.0965785817,68.9225082397461,,33.3,0.926,5401,36545295.0,0.0000551917832377602
Canada,CAN,2018,75,48796.8137814007,70.1130218505859,,,0.928,5401,37065178.0,0.0000544446326414512
Canada,CAN,2019,95,49006.7431073981,75.6988220214844,,,0.929,5401,37593384.0,0.0000537062585267663
