Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Åland Islands,2014,0,,,,,,
Austria,2014,40,52857.0563215416,79.1586990356445,32.51695,30.5,0.913,8546356.0
Belgium,2014,65,48747.6770466387,72.9973983764648,22.49618,28.1,0.918,11209057.0
Bulgaria,2014,30,18747.370050962,67.5635604858398,,37.4,0.806,7223938.0
Canary Islands,2014,0,,,,,,
Croatia,2014,5,23782.5024628678,67.5102310180664,,32.1,0.835,4238389.0
Cyprus (European Union),2014,110,,,,,,
Cyprus not otherwise specified,2014,0,,,,,,
Czech Republic,2014,35,,65.6240997314453,20.03148,25.9,,10525347.0
Denmark,2014,20,52048.3354927846,81.0290832519531,30.68284,28.4,0.935,5643475.0
Estonia,2014,5,30602.5954941753,73.3077621459961,26.23038,34.6,0.871,1314545.0
European Union not otherwise specified,2014,0,,,,,,
Finland,2014,20,44976.7764487708,88.8816604614258,27.91297,26.8,0.928,5461512.0
France,2014,295,43021.3946358903,61.5104789733887,,32.3,0.893,66312067.0
French Guiana,2014,0,,,,,,
Germany,2014,165,50770.6134878236,65.50390625,26.58781,30.9,0.937,80982500.0
Gibraltar,2014,5,,,,,,33726.0
Greece,2014,85,28178.6902062824,122.402000427246,,35.8,0.875,10892413.0
Guadeloupe,2014,0,,,,,,
Hungary,2014,65,26424.7204043413,52.015869140625,16.44862,30.9,0.838,9866468.0
Ireland,2014,10,58267.4122658082,73.813232421875,20.84728,31.9,0.928,4657740.0
Italy,2014,145,39898.5264609826,61.702751159668,19.58569,34.7,0.882,60789140.0
Latvia,2014,10,25387.0076467731,70.8979415893555,21.31183,35.1,0.845,1993782.0
Lithuania,2014,20,29855.8314910326,70.4006118774414,29.6144,37.7,0.859,2932367.0
Luxembourg,2014,15,108414.751923468,,12.64924,31.2,0.903,556319.0
Malta,2014,5,37230.2783945938,44.3358383178711,19.26899,29.0,0.874,434558.0
Martinique,2014,0,,,,,,
Netherlands,2014,35,52186.9973861206,,,28.6,0.932,16865008.0
Poland,2014,145,26649.577276004,68.4471664428711,24.09996,32.8,0.858,38011735.0
Portugal,2014,15,30444.6002091947,65.5035705566406,17.82687,35.6,0.847,10401062.0
Réunion,2014,0,,,,,,
Romania,2014,125,23084.3747760397,47.1371002197266,21.64806,36.0,0.811,19908979.0
Slovakia,2014,30,27384.9718145418,,,,0.847,
Slovenia,2014,15,33098.9441619924,82.2311325073242,19.76357,25.7,0.894,2061980.0
Spain,2014,110,35968.6201369865,85.4462738037109,22.49025,36.1,0.888,46480882.0
Sweden,2014,70,49258.9961639539,62.180591583252,25.27111,28.4,0.935,9696110.0
Total Other EU,2014,1695,,,,,,
Albania,2014,10,11586.8637666424,65.7829666137695,,34.6,0.787,2889104.0
Andorra,2014,0,,,6.07554,,0.863,79213.0
Armenia,2014,10,11019.838784895,47.0821914672852,13.62262,31.5,0.764,2912403.0
