Country of domicile,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,Population
Åland Islands,0,,,,,
Austria,50,55833.3156857561,86.4755325317383,,,8879920.0
Belgium,80,51742.7263830791,80.1381683349609,,,11488980.0
Bulgaria,95,23191.5745846967,73.3791732788086,,,6975761.0
Canary Islands,0,,,,,
Croatia,10,28753.5162699607,67.7217483520508,,,4065253.0
Cyprus (European Union),145,,,,,
Cyprus not otherwise specified,0,,,,,
Czech Republic,75,,65.5869827270508,,,10671870.0
Denmark,30,57678.0988930692,81.8397598266602,,,5814422.0
Estonia,5,36830.0747898819,74.2319869995117,,,1326898.0
European Union not otherwise specified,0,,,,,
Finland,25,48689.2341509211,92.9550094604492,,,5521606.0
France,630,45834.1669122703,68.3579025268555,,,67248926.0
French Guiana,0,,,,,
Germany,235,53639.26072156,73.5210571289063,,,83092962.0
Gibraltar,5,,,,,33706.0
Greece,95,29723.2219580446,148.530883789063,,,10721582.0
Guadeloupe,0,,,,,
Hungary,150,32553.5236997988,52.4446487426758,,,9771141.0
Ireland,15,87786.1569266174,75.1799392700195,,,4934340.0
Italy,270,42662.5223699096,66.0515975952148,,,59729081.0
Latvia,10,30858.750074744,94.8645324707031,,,1913822.0
Lithuania,65,37062.5867515036,72.0089721679688,,,2794137.0
Luxembourg,25,113940.23744151,18.4300003051758,,,620001.0
Malta,0,43950.5880527847,64.8729095458984,,,504062.0
Martinique,0,,,,,
Mayotte,0,,,,,
Netherlands,60,56629.110793233,,,,17344874.0
Poland,190,33120.517844588,69.1840286254883,,,37965475.0
Portugal,45,34879.7059746537,67.9307022094727,,,10286263.0
Réunion,0,,,,,
Romania,260,29857.6464700842,51.3538208007813,,,19371648.0
Slovakia,65,31871.3349174843,,,,
Slovenia,15,38905.5478569196,77.8827667236328,,,2088385.0
Spain,275,40805.9169678996,92.8823471069336,,,47133521.0
Sweden,45,52531.1743768398,77.3291091918945,,,10278887.0
Total Other EU,2975,,,,,
Albania,5,13671.4884222978,59.7784996032715,,,2854191.0
Andorra,0,,,,,77146.0
Armenia,5,13653.7633812861,51.4875297546387,,29.9,2957728.0
Azerbaijan,10,14439.3014032972,31.5401992797852,,,10024283.0
Belarus,5,19283.1171477055,93.3963165283203,,25.3,9417849.0
Bosnia and Herzegovina,0,14896.7900391155,40.1903495788574,,,3300998.0
Cyprus (Non-European Union),0,,,,,
Europe not otherwise specified,0,,,,,
Faroe Islands,0,,,,,48677.0
Georgia,5,14989.2581602038,63.9155006408691,,35.9,3720161.0
Iceland,0,56913.9568467085,77.5888366699219,,,360563.0
Kosovo,0,11485.9240071233,,,,1788878.0
Liechtenstein,0,,41.1658401489258,,,38020.0
Moldova,0,13022.0046061019,56.2715110778809,,,2663251.0
Monaco,5,,,,,38967.0
Montenegro,5,21533.949235748,54.1748199462891,,,622028.0
North Macedonia,5,16600.1436488516,,,,2083458.0
Norway,30,64452.812617024,83.2306900024414,,,5347896.0
Russia,150,27210.5459977867,,,,
San Marino,0,60847.1067610929,49.6796684265137,,,33864.0
Serbia,5,18292.175030713,67.7898406982422,,,6945235.0
Svalbard and Jan Mayen,0,,,,,
Switzerland,145,70920.3247255393,63.3080596923828,,,8575280.0
Total Other Europe,515,,,,,
Turkey,115,28199.0515906708,115.042060852051,,41.9,83429607.0
Ukraine,20,12808.7989991273,,,26.6,44386203.0
Vatican City,0,,,,,
Africa not otherwise specified,0,,,,,
Algeria,5,11510.5570882585,52.6199417114258,,,43053054.0
Angola,0,6670.33145836633,,,,31825299.0
Benin,0,3287.30953781986,,,,11801151.0
Botswana,15,17776.8083134036,25.0813903808594,,,2303703.0
Burkina Faso,0,2178.3228791324,7.09612989425659,,,20321383.0
Burundi,0,751.664152760383,3.92356991767883,,,11530577.0
Cameroon,0,3642.27627296724,,,,25876387.0
Cape Verde,0,7171.8264247567,,,,
Central African Republic,0,945.142042928865,,,,4745179.0
Chad,0,1579.62610063652,,,,15946882.0
Comoros,0,3059.49172597369,,,,850891.0
Congo,0,3842.79885571048,,,,
Congo (Democratic Republic) {formerly Zaire},0,,,,,
Djibouti,0,5534.76617152744,,,,973557.0
Egypt,30,11763.2532849551,,,,
Equatorial Guinea,0,18502.563964039,,,,1355982.0
Eritrea,0,,,,,
Ethiopia,0,2221.40466452958,,,,112078727.0
Gabon,0,14950.0770784889,21.0658702850342,,,2172578.0
"Gambia, The",0,,,,,2347696.0
Ghana,5,5396.86608780051,17.2329692840576,,,30417858.0
Guinea,0,2567.0339869651,7.018630027771,,,12771246.0
Guinea-Bissau,0,1939.2895096348,,,,1920917.0
Ivory Coast,0,,,,,
Kenya,20,4329.87188383259,10.0383996963501,,,52573967.0
Kingdom of eSwatini,0,,,,,
Lesotho,0,2583.92437114575,,,,2125267.0
Liberia,0,1427.8190899409,,,,4937374.0
Libya,0,15174.1625153905,,,,6777453.0
Madagascar,0,1618.53231427249,,,,26969306.0
Malawi,0,1514.66267654193,,,,18628749.0
Mali,0,2321.91717305646,,,,19658023.0
Mauritania,0,5197.0722508281,5.76324987411499,,,4525698.0
Mauritius,20,22870.2862495308,44.391529083252,,,1265711.0
Morocco,35,7537.48527234118,38.5453300476074,,,36471766.0
Mozambique,5,1281.50604143547,,,,30366043.0
Namibia,0,9845.21306790198,,,,2494524.0
Niger,0,1224.51026155853,4.22824001312256,,,23310719.0
Nigeria,30,5135.49946875343,,,,200963603.0
Rwanda,0,2227.51703252759,6.23539018630981,,,12626938.0
Sao Tome And Principe,0,,,,,
Senegal,0,3361.46154773707,13.1359395980835,,,16296362.0
Seychelles,0,27521.1667744956,19.1731700897217,,,97625.0
Sierra Leone,0,1719.78974431978,,,,7813207.0
Somalia,0,866.762289749145,,,,15442906.0
South Africa,10,12481.8135074777,23.8665599822998,,,58558267.0
South Sudan,0,,,,,11062114.0
"St Helena, Ascension and Tristan da Cunha",0,,,,,
Sudan,0,4185.60063543936,,,,42813237.0
Swaziland,0,,,,,
Tanzania,0,2660.42043252302,3.09249997138977,,,58005461.0
Togo,0,2121.89991847011,13.6758804321289,,,8082359.0
Total Africa,195,,,,,
Tunisia,10,10755.5726608392,31.8472690582275,,,11694721.0
Uganda,5,2187.46522731754,,,,44269587.0
Western Sahara,0,,,,,
Zambia,0,3470.44802371756,,,,17861034.0
Zimbabwe,0,3027.65603782166,,,50.3,14645473.0
Afghanistan,0,2065.03623501599,,,,38041757.0
Asia (Except Middle East) not otherwise specified,0,,,,,
Bangladesh,15,4753.72659686814,24.0168895721436,,,163046173.0
Bhutan,0,11832.1582535521,15.5683002471924,,,763094.0
Brunei,10,62098.0113423415,,,,
Cambodia,0,4388.80090863468,14.7389602661133,,,16486542.0
China,2685,16092.300767051,53.7649116516113,,,1397715000.0
East Timor,0,,,,,
Hong Kong (Special Administrative Region of China),760,,,,,
India,145,6713.93221110733,28.5729007720947,,,1366417756.0
Indonesia,55,11811.9755589147,,,38.2,270625567.0
Japan,70,41380.0935773113,,,,126264931.0
Kazakhstan,20,26351.8044418782,61.7497596740723,,,18513673.0
Korea (North),0,,,,,
Korea (South),220,,,,,
Kyrgyzstan,0,5258.36669601039,,,,
Laos,0,7886.65281419668,,,,
Macao (Special Administrative Region of China),45,,,,,
Malaysia,490,28364.4763211606,43.0616111755371,,,31949789.0
Maldives,0,19531.0425624222,34.121940612793,,,530957.0
Mongolia,5,12316.7913725436,68.7535171508789,,,3225166.0
Myanmar (Burma),10,,,,,
Nepal,0,3952.76034914913,13.3268299102783,,,28608715.0
Pakistan,60,4690.48477660926,12.2206401824951,,,216565317.0
Philippines,15,8914.72379820449,,,,108116622.0
Singapore,540,98411.5820616053,91.0889892578125,,,5703569.0
Sri Lanka,15,13070.1256448919,21.1277008056641,,,21803000.0
Taiwan,45,,,,,
Tajikistan,0,3581.41140185513,,,,9321023.0
Thailand,120,18453.4698218155,,,34.9,69625581.0
Total Asia,5375,,,,,
Turkmenistan,0,15538.4199701316,14.2286701202393,,,5942094.0
Uzbekistan,5,7014.32469877717,12.5820302963257,,,33580350.0
Vietnam,35,8041.17838409676,28.6399803161621,,,96462108.0
American Samoa,0,,,,,55312.0
Antarctica and Oceania not otherwise specified,0,,,,,
Australia,30,49455.5385080697,115.952041625977,,,25365745.0
Christmas Island,0,,,,,
Cook Islands,0,,,,,
Fiji,0,13684.3608160228,53.4931602478027,,,889955.0
French Polynesia,0,,,,,279285.0
Guam,0,,,,,167295.0
Kiribati,0,2270.10860723388,,,,117608.0
Marshall Islands,0,4029.08632919678,25.8227806091309,,,58791.0
Micronesia,0,,,,,
Nauru,0,13527.411941066,,,,10764.0
New Caledonia,0,,,,,271300.0
New Zealand,20,42877.9429107086,80.3025512695313,,,4979300.0
Niue,0,,,,,
Norfolk Island,0,,,,,
Northern Mariana Islands,0,,,,,57213.0
Palau,0,17572.6226006793,,,,18001.0
