Country of domicile,Number
Åland Islands,0
Austria,40
Belgium,65
Bulgaria,30
Canary Islands,0
Croatia,5
Cyprus (European Union),110
Cyprus not otherwise specified,0
Czech Republic,35
Denmark,20
Estonia,5
European Union not otherwise specified,0
Finland,20
France,295
French Guiana,0
Germany,165
Gibraltar,5
Greece,85
Guadeloupe,0
Hungary,65
Ireland,10
Italy,145
Latvia,10
Lithuania,20
Luxembourg,15
Malta,5
Martinique,0
Netherlands,35
Poland,145
Portugal,15
Réunion,0
Romania,125
Slovakia,30
Slovenia,15
Spain,110
Sweden,70
Total Other EU,1695
Albania,10
Andorra,0
Armenia,10
Azerbaijan,20
Belarus,5
Bosnia and Herzegovina,0
Cyprus (Non-European Union),0
Europe not otherwise specified,0
Faroe Islands,0
Georgia,5
Iceland,0
Kosovo,5
Liechtenstein,0
Moldova,0
Monaco,5
Montenegro,0
North Macedonia,5
Norway,35
Russia,130
San Marino,0
Serbia,10
Svalbard and Jan Mayen,0
Switzerland,65
Total Other Europe,360
Turkey,25
Ukraine,35
Vatican City,0
Africa not otherwise specified,0
Algeria,0
Angola,0
Benin,0
Botswana,5
Burkina Faso,0
Burundi,0
Cameroon,0
Cape Verde,0
Central African Republic,0
Chad,0
Comoros,0
Congo,0
Congo (Democratic Republic) {formerly Zaire},0
Djibouti,0
Egypt,15
Equatorial Guinea,0
Eritrea,0
Ethiopia,0
Gabon,0
"Gambia, The",0
Ghana,0
Guinea,0
Guinea-Bissau,0
Ivory Coast,0
Kenya,25
Kingdom of eSwatini,0
Lesotho,0
Liberia,0
Libya,0
Madagascar,0
Malawi,0
Mali,0
Mauritania,0
Mauritius,25
Mayotte ,0
Morocco,10
Mozambique,0
Namibia,0
Niger,0
Nigeria,50
Rwanda,0
Sao Tome And Principe,0
Senegal,0
Seychelles,0
Sierra Leone,0
Somalia,0
South Africa,0
South Sudan,0
"St Helena, Ascension and Tristan da Cunha",0
Sudan,0
Swaziland,0
Tanzania,0
Togo,0
Total Africa,160
Tunisia,5
Uganda,5
Western Sahara,0
Zambia,0
Zimbabwe,5
Afghanistan,0
Asia (Except Middle East) not otherwise specified,0
Bangladesh,15
Bhutan,0
Brunei,20
Cambodia,0
China,960
East Timor,0
Hong Kong (Special Administrative Region of China),570
India,75
Indonesia,25
Japan,50
Kazakhstan,20
Korea (North),0
Korea (South),115
Kyrgyzstan,0
Laos,0
Macao (Special Administrative Region of China),15
Malaysia,420
Maldives,5
Mongolia,0
Myanmar (Burma),5
Nepal,0
Pakistan,50
Philippines,5
Singapore,525
Sri Lanka,15
Taiwan,30
Tajikistan,0
Thailand,70
Total Asia,3055
Turkmenistan,0
Uzbekistan,0
Vietnam,60
American Samoa,0
Antarctica and Oceania not otherwise specified,0
Australia,15
Christmas Island,0
Cook Islands,0
Fiji,0
French Polynesia,0
Guam,0
Kiribati,0
Marshall Islands,0
Micronesia,0
Nauru,0
New Caledonia,0
New Zealand,5
Niue,0
Norfolk Island,0
Northern Mariana Islands,0
Palau,0
Papua New Guinea,0
"Pitcairn, Henderson, Ducie And Oeno Islands",0
Samoa,0
Solomon Islands,0
South Georgia and The South Sandwich Islands,0
Tokelau,0
Tonga,0
Total Australasia,25
Tuvalu,0
Vanuatu,0
Wallis and Futuna,0
Bahrain,5
Iran,15
Iraq,0
Israel,10
Jordan,15
Kuwait,5
Lebanon,20
Middle East not otherwise specified,0
Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},0
Oman,5
Qatar,5
Saudi Arabia,20
Syria,5
Total Middle East,145
United Arab Emirates,40
Yemen,0
Anguilla,0
Antigua and Barbuda,0
Aruba,0
"Bahamas, The",0
Barbados,0
Belize,0
Bermuda,5
"Bonaire, Sint Eustatius and Saba",0
British Virgin Islands,0
Canada,70
Caribbean not otherwise specified,0
Cayman Islands,0
Central America not otherwise specified,0
Costa Rica,0
Cuba,0
Curaçao,0
Dominica,0
Dominican Republic,0
El Salvador,0
Greenland,0
Grenada,0
Guatemala,0
Haiti,0
Honduras,0
Jamaica,0
Mexico,5
Montserrat,0
Nicaragua,0
North America not otherwise specified,0
Panama,0
Puerto Rico,0
Sint Maarten (Dutch part),0
St Barthélemy,0
St Kitts and Nevis,0
St Lucia,0
St Martin (French Part),0
St Pierre And Miquelon,0
St Vincent and The Grenadines,0
Total North America,230
Trinidad and Tobago,20
Turks and Caicos Islands,0
United States,125
United States Virgin Islands,0
Argentina,0
Bolivia,0
Brazil,20
Chile,0
Colombia,0
Ecuador,10
Falkland Islands,0
Guyana,0
Paraguay,0
Peru,5
South America not otherwise specified,0
Suriname,0
Total South America,40
Uruguay,0
Venezuela,0
Total,5705
